Question,llama-3-1-8b_std_dev,llama-3-1-8b_responses
What year did the Apollo 11 mission land on the moon?,0,0
Who wrote Pride and Prejudice?,0,0
What is the capital of Japan?,0,0
What is the chemical formula for water?,0,0
Who painted the Mona Lisa?,0,0
What is the largest planet in our solar system?,0,0
In what year did World War II end?,0,0
What is the speed of light in a vacuum?,0,0
Who discovered penicillin?,0,0
What is the boiling point of water at sea level in Celsius?,0,0
Who was the first woman to win a Nobel Prize?,0,0
What is the capital of Australia?,0,0
Who wrote 'Romeo and Juliet'?,0,0
What is the atomic number of oxygen?,0,0
Who was the first person to step on the moon?,0,0
What is the circumference of Earth?,0,0
In which year was the Declaration of Independence signed?,0,0
What is the tallest mountain on Earth?,0,0
Who developed the theory of relativity?,0,0
What is the largest ocean on Earth?,0,0
